age_g5,male_u,population
18-25,Female,235918.9351
18-25,Male,251825.8576
26-30,Female,199851.1739
26-30,Male,138076.5399
31-35,Female,241157.7679
31-35,Male,165164.7413
36-40,Female,457994.9745
36-40,Male,221505.2228
41-45,Female,484985.6247
41-45,Male,275913.4267
46-50,Female,662231.0998
46-50,Male,315363.7739
51-55,Female,681573.68
51-55,Male,373581.5035
56-60,Female,771994.6579
56-60,Male,381508.4198
61-65,Female,616076.8142
61-65,Male,381417.2055
66-70,Female,396457.1138
66-70,Male,225030.5575
71-75,Female,169891.99
71-75,Male,104789.2525
76+,Female,156923.9677
76+,Male,100147.3581
