Cancer Incidence Rank_Incidence Percent_Incidence Cum_risk_incidence Death Rank_death Percent_death Cum_risk_death Prevalent_cases_5_years Prevalence_per_100000
Liver 26418 1 14.5 2.58 25272 1 20.6 2.47 28761 29.55
Lung 26262 2 14.4 2.64 23797 2 19.4 2.41 28638 29.42
Breast 21555 3 11.8 3.69 9345 4 7.6 1.47 60753 124.65
Stomach 17906 4 9.8 1.81 14615 3 11.9 1.47 23989 24.64
Rectum 9399 5 5.1 0.92 4758 6 3.9 0.41 22784 23.41
Colon 6448 6 3.5 0.66 3445 8 2.8 0.32 14292 14.68
Leukaemia 6289 7 3.4 0.52 4791 5 3.9 0.41 17010 17.48
Prostate 6248 8 3.4 1.43 2628 10 2.1 0.49 10975 22.58
Nasopharynx 6040 9 3.3 0.59 3706 7 3.0 0.39 16184 16.63
Thyroid 5471 10 3.0 0.45 642 22 0.52 0.07 16289 16.73
Corpus-uteri 5354 11 2.9 0.94 1319 14 1.1 0.25 13973 28.67
Cervix-uteri 4132 12 2.3 0.70 2223 12 1.8 0.39 9999 20.51
NonHodgkinLymphoma 3725 13 2.0 0.36 2214 13 1.8 0.22 9804 10.07
Oesophagus 3281 14 1.8 0.33 3080 9 2.5 0.31 3472 3.57
Central-nervous-system 3120 15 1.7 0.27 2614 11 2.1 0.23 8080 8.30
Kidney 2435 16 1.3 0.23 1130 16 0.92 0.11 5969 6.13
Hypopharynx 2356 17 1.3 0.24 1246 15 1.0 0.11 3458 3.55
Lip-oral-cavity 2152 18 1.2 0.21 1099 18 0.90 0.11 5070 5.21
Larynx 2021 19 1.1 0.21 1109 17 0.90 0.11 4996 5.13
Bladder 1721 20 0.94 0.18 902 21 0.74 0.08 4292 4.41
Ovary 1404 21 0.77 0.25 923 20 0.75 0.17 3468 7.12
Pancreas 1113 22 0.61 0.11 1065 19 0.87 0.11 1055 1.08
HodgkinLymphoma 651 23 0.36 0.06 251 27 0.20 0.02 1998 2.05
Oropharynx 605 24 0.33 0.06 306 26 0.25 0.03 1381 1.42
Anus 579 25 0.32 0.05 321 24 0.26 0.02 1414 1.45
Multiple-myeloma 550 26 0.30 0.06 471 23 0.38 0.05 1232 1.27
Penis 397 27 0.22 0.09 147 29 0.12 0.03 1040 2.14
Salivary-glands 378 28 0.21 0.04 144 30 0.12 0.01 1060 1.09
Mesothelioma 356 29 0.20 0.03 306 25 0.25 0.03 431 0.44
Gallbladder 301 30 0.16 0.03 214 28 0.17 0.02 379 0.39
Testis 291 31 0.16 0.05 70 33 0.06 0.01 1029 2.12
Melanoma-of-skin 193 32 0.11 0.02 120 31 0.10 0.01 510 0.52
Kaposi-sarcoma 172 33 0.09 0.02 101 32 0.08 0.01 423 0.43
Vulva 169 34 0.09 0.02 66 34 0.05 0.01 445 0.91
Vagina 55 35 0.03 0.01 29 35 0.02 0.00 128 0.26
