country vir_prev vir_prev_CI vir_pop vir_pop_CI gen1a gen1b gen1c gen1_other gen2 gen3 gen4 gen5 gen6 gen_mixed_others
Japan 0·7% (0·3–0·8) 857 (364–1024) 0 64·8% 0 0 34·2% 0 0 0 0 1·0%
South-Korea 0·5% (0·3–0·5) 231 (148–261) 3·0% 45·4% 0 4·3% 45·3% 0·8% 0·2% 0 1·0% 0

Armenia . . . . 5·2% 36·2% 0 1·7% 18·9% 38·0% 0 0 0 0
Azerbaijan 1·9% (1·3–2·1) 190 (125–212) 2·9% 64·2% 0 0 6·7% 26·0% 0·2% 0 0 0
Georgia 4·2% (3·0–4·2) 165 (120–169) 1·9% 37·6% 0 0 24·5% 34·3% 0 0 0 1·7%
Kazakhstan 2·8% (1·9–3·2) 508 (334–572) 2·5% 52·5% 0 0 10·0% 35·0% 0 0 0 0
Mongolia 6·4% (4·3–7·9) 194 (131–237) 0 98·8% 0 0 1·2% 0 0 0 0 0
Tajikistan · · · · 0 82·7% 0 0 5·8% 7·7% 0 0 0 3·8%
Uzbekistan 4·3% (3·0–5·0) 1292 (902–1524) 2·9% 64·2% 0 0 6·7% 26·0% 0·2% 0 0 0

China 0·7% (0·5–0·8) 9795 (6675–10 832) 1·4% 56·8% 0 0 15·4% 8·7% 0 0 6·3% 11·4%
Hong-Kong 0·2% (0·1–0·3) 15 (6–22) 4·3% 62·4% 0 0 3·2% 2·8% 0 0 27·4% 0
Taiwan 2·1% (1·3–3·7) 489 (310–877) 2·6% 45·5% 0 0·7% 39·5% 1·0% 0·2% 0 0·5% 10·1%

Afghanistan 0·5% (0·3–0·8) 181 (85–258) 35·2% 2·8% 0 0 0 62·0% 0 0 0 0
India 0·5% (0·4–0·8) 6245 (4748–10 957) 9·0% 16·1% 0 3·3% 0 64·1% 7·3% 0·3% 0 0
Nepal · · · · 11·3% 6·6% 0 21·4% 0 58·4% 0 0 0 2·4%
Pakistan 3·8% (2·8–3·9) 7172 (5363–7487) 4·8% 1·2% 0 1·0% 3·8% 79·0% 1·6% 0·1% 0·1% 8·3%

Cambodia 1·6% (0·9–1·7) 257 (147–272) 0 24·0% 0 0 0 20·0% 0 0 56·0% 0
Indonesia 0·5% (0·2–0·8) 1289 (443–2046) 25·6% 39·0% 0 3·0% 9·3% 9·4% 3·6% 0 0 10·0%
Laos · · · · 0 4·4% 0 0 0 0 0 0 95·6% 0
Malaysia 1·2% (0·8–1·3) 382 (240–405) 0 0 0 35·8% 0·7% 62·3% 0·7% 0 0·4% 0
Myanmar · · · · 4·1% 6·9% 0 0 0·7% 39·3% 0 0 49·0% 0
Philippines 0·6% (0·3–0·6) 614 (353–651) 70·7% 2·5% 0 0 26·4% 0 0·2% 0 0·2% 0
Sri-Lanka · · · · 0 46·9% 0 0 37·5% 0 0 0 0 15·6%
Thailand 0·7% (0·4–0·7) 463 (255–487) 4·4% 13·0% 0 0 0 47·8% 0 0 34·8% 0
